"pid","location","lat","lon"
1,"51 SOUTH END RD",41.2637087,-72.8940263
2,"75 SOUTH END RD",41.26357,-72.893978
3,"199 SOUTH END RD",41.2634503,-72.8938513
4,"11 URIAH ST",41.263327,-72.8937698
5,"181 SOUTH END RD",41.263215,-72.893738
6,"169 SOUTH END RD",41.263274,-72.894018
7,"173 SOUTH END RD",41.2635122,-72.8927652
8,"165 SOUTH END RD",41.263199,-72.8942129
9,"161 SOUTH END RD",41.2635122,-72.8927652
10,"157 SOUTH END RD",41.2629792,-72.8942991
11,"153 SOUTH END RD",41.262897,-72.894596
12,"SOUTH END RD",41.26307,-72.894648
13,"107 SOUTH END RD",41.263182,-72.894708
14,"101 SOUTH END RD",41.263277,-72.894789
15,"95 SOUTH END RD",41.263435,-72.894718
16,"SOUTH END RD",41.263503,-72.894833
17,"91 SOUTH END RD",41.263574,-72.894935
18,"103 SOUTH END RD",41.263667,-72.894992
19,"SOUTH END RD",41.263708,-72.8951809
20,"URIAH ST",41.26375,-72.89532
21,"SOUTH END RD",41.263839,-72.895389
22,"SOUTH END RD",41.2642809,-72.893995
23,"5 DOUGLASS AV",41.264335,-72.893826
24,"11 DOUGLASS AV",41.2644244,-72.893732
25,"17 DOUGLASS AV",41.264417,-72.893579
26,"23 DOUGLASS AV",41.2645071,-72.8934894
27,"29 DOUGLASS AV",41.264184,-72.8934589
28,"32 URIAH ST",41.264019,-72.893367
29,"24 URIAH ST",41.263897,-72.893297
30,"20 URIAH ST",41.2637789,-72.8931717
31,"1 TOWNSEND AV",41.2636077,-72.8931106
32,"1 TOWNSEND AV #A",41.2633745,-72.8933949
33,"1 TOWNSEND AV #B",41.2635772,-72.8935124
34,"9 TOWNSEND AV",41.263722,-72.893561
35,"17 JOHNSTON ST",41.26383,-72.893633
36,"30 DOUGLASS AV",41.2639042,-72.8937705
37,"24 DOUGLASS AV",41.2639987,-72.8938162
38,"20 DOUGLASS AV",41.2641132,-72.8938833
39,"3 TOWNSEND AV",41.264176,-72.892867
